03.02.2017  0:00:00,53 - lsm, INFO, ALL IS WELL  
03.02.2017  0:00:14,89 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:00:15,26 - lsm, INFO, ALL IS WELL  
03.02.2017  0:00:29,71 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:00:30,08 - lsm, INFO, ALL IS WELL  
03.02.2017  0:00:44,53 - lsm, INFO, ALL IS WELL  
03.02.2017  0:00:58,80 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:00:59,15 - lsm, INFO, ALL IS WELL  
03.02.2017  0:01:13,60 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:01:13,95 - lsm, INFO, ALL IS WELL  
03.02.2017  0:01:28,42 - lsm, INFO, ALL IS WELL  
03.02.2017  0:01:42,72 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:01:43,07 - lsm, INFO, ALL IS WELL  
03.02.2017  0:01:57,53 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:01:57,91 - lsm, INFO, ALL IS WELL  
03.02.2017  0:02:12,35 - lsm, INFO, ALL IS WELL  
03.02.2017  0:02:26,63 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:02:26,99 - lsm, INFO, ALL IS WELL  
03.02.2017  0:02:41,44 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:02:41,82 - lsm, INFO, ALL IS WELL  
03.02.2017  0:02:56,25 - lsm, INFO, ALL IS WELL  
03.02.2017  0:03:10,51 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:03:10,97 - lsm, INFO, ALL IS WELL  
03.02.2017  0:03:25,43 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:03:25,81 - lsm, INFO, ALL IS WELL  
03.02.2017  0:03:40,41 - lsm, INFO, ALL IS WELL  
03.02.2017  0:03:54,77 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:03:55,12 - lsm, INFO, ALL IS WELL  
03.02.2017  0:04:09,55 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:04:09,90 - lsm, INFO, ALL IS WELL  
03.02.2017  0:04:24,44 - lsm, INFO, ALL IS WELL  
03.02.2017  0:04:38,68 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:04:39,05 - lsm, INFO, ALL IS WELL  
03.02.2017  0:04:53,50 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:04:53,89 - lsm, INFO, ALL IS WELL  
03.02.2017  0:05:08,32 - lsm, INFO, ALL IS WELL  
03.02.2017  0:05:22,61 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:05:22,96 - lsm, INFO, ALL IS WELL  
