20.01.2017 15:47:32,86 - nsd, WARNING, NOT RUNNIG  
20.01.2017 15:47:35,00 - nsd, INFO, ALL IS WELL  
20.01.2017 15:54:13,59 - nsd, INFO, ALL IS WELL  
20.01.2017 15:54:49,30 - nsd, INFO, ALL IS WELL  
20.01.2017 15:58:46,19 - nsd, INFO, ALL IS WELL  
20.01.2017 15:59:24,14 - nsd, INFO, ALL IS WELL  
20.01.2017 16:07:10,62 - nsd, INFO, ALL IS WELL  
20.01.2017 17:08:17,52 - nsd, INFO, ALL IS WELL  
20.01.2017 17:15:28,34 - nsd, INFO, ALL IS WELL  
20.01.2017 17:15:30,81 - nsd, INFO, ALL IS WELL  
20.01.2017 17:15:32,38 - nsd, INFO, ALL IS WELL  
20.01.2017 17:15:51,94 - nsd, INFO, ALL IS WELL  
20.01.2017 17:16:55,83 - lsm, INFO, ALL IS WELL  
20.01.2017 17:18:27,63 - nsd, INFO, ALL IS WELL  
20.01.2017 17:19:54,85 - lsm, INFO, ALL IS WELL  
20.01.2017 17:19:56,69 - nsd, INFO, ALL IS WELL  
20.01.2017 17:20:10,97 - lsm, INFO, ALL IS WELL  
20.01.2017 17:20:12,51 - nsd, INFO, ALL IS WELL  
20.01.2017 17:22:45,14 - lsm, INFO, ALL IS WELL  
20.01.2017 17:22:47,42 - nsd, INFO, ALL IS WELL  
20.01.2017 17:22:49,00 - lsm, INFO, ALL IS WELL  
20.01.2017 17:22:50,64 - nsd, INFO, ALL IS WELL  
20.01.2017 17:23:03,32 - lsm, INFO, ALL IS WELL  
20.01.2017 17:23:04,92 - nsd, INFO, ALL IS WELL  
