24.01.2017 10:59:10,93 - lsm, WARNING, NOT RUNNIG  
24.01.2017 10:59:25,10 - lsm, INFO, ALL IS WELL  
24.01.2017 10:59:35,09 - mtbpro, INFO, ALL IS WELL  
24.01.2017 10:59:37,01 - nsd, INFO, ALL IS WELL  
24.01.2017 10:59:39,52 - nsd, INFO, ALL IS WELL  
24.01.2017 11:00:52,29 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:05:12,92 - lsm, INFO, ALL IS WELL  
24.01.2017 11:05:14,83 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:05:16,48 - nsd, INFO, ALL IS WELL  
24.01.2017 11:05:29,93 - lsm, INFO, ALL IS WELL  
24.01.2017 11:05:31,44 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:05:32,78 - nsd, INFO, ALL IS WELL  
24.01.2017 11:06:24,51 - lsm, INFO, ALL IS WELL  
24.01.2017 11:06:25,63 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:06:26,85 - nsd, INFO, ALL IS WELL  
24.01.2017 11:06:38,64 - lsm, INFO, ALL IS WELL  
24.01.2017 11:06:39,90 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:06:41,04 - nsd, INFO, ALL IS WELL  
24.01.2017 11:49:18,62 - lsm, INFO, ALL IS WELL  
24.01.2017 11:49:20,89 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:49:22,53 - nsd, INFO, ALL IS WELL  
24.01.2017 11:49:37,97 - lsm, INFO, ALL IS WELL  
24.01.2017 11:49:39,65 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:49:40,77 - nsd, INFO, ALL IS WELL  
24.01.2017 11:51:30,54 - lsm, INFO, ALL IS WELL  
24.01.2017 11:51:31,87 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:51:33,24 - nsd, INFO, ALL IS WELL  
24.01.2017 11:51:40,51 - lsm, INFO, ALL IS WELL  
24.01.2017 11:51:41,71 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:51:42,64 - nsd, INFO, ALL IS WELL  
24.01.2017 11:53:24,65 - lsm, INFO, ALL IS WELL  
24.01.2017 11:53:25,98 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:53:27,28 - lsm, INFO, ALL IS WELL  
24.01.2017 11:53:28,49 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:53:29,66 - nsd, INFO, ALL IS WELL  
24.01.2017 11:53:31,12 - lsm, INFO, ALL IS WELL  
24.01.2017 11:53:32,28 - nsd, INFO, ALL IS WELL  
24.01.2017 11:56:12,54 - lsm, INFO, ALL IS WELL  
24.01.2017 11:56:14,10 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:56:15,66 - nsd, INFO, ALL IS WELL  
24.01.2017 11:56:17,22 - lsm, INFO, ALL IS WELL  
24.01.2017 11:56:18,41 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:56:20,00 - nsd, INFO, ALL IS WELL  
24.01.2017 11:57:34,36 - lsm, INFO, ALL IS WELL  
24.01.2017 11:57:35,37 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:57:36,25 - nsd, INFO, ALL IS WELL  
24.01.2017 11:57:37,45 - lsm, INFO, ALL IS WELL  
24.01.2017 11:57:38,62 - mtbpro, INFO, ALL IS WELL  
24.01.2017 11:57:39,84 - nsd, INFO, ALL IS WELL  
24.01.2017 12:00:42,07 - lsm, INFO, ALL IS WELL  
24.01.2017 12:00:43,15 - mtbpro, INFO, ALL IS WELL  
24.01.2017 12:00:44,25 - nsd, INFO, ALL IS WELL  
24.01.2017 12:00:45,82 - lsm, INFO, ALL IS WELL  
24.01.2017 12:00:46,98 - mtbpro, INFO, ALL IS WELL  
24.01.2017 12:00:48,08 - nsd, INFO, ALL IS WELL  
24.01.2017 12:01:35,45 - lsm, INFO, ALL IS WELL  
24.01.2017 12:01:36,86 - mtbpro, INFO, ALL IS WELL  
24.01.2017 12:01:38,07 - nsd, INFO, ALL IS WELL  
24.01.2017 12:02:22,45 - lsm, INFO, ALL IS WELL  
24.01.2017 12:02:23,83 - mtbpro, INFO, ALL IS WELL  
24.01.2017 12:02:25,04 - nsd, INFO, ALL IS WELL  
24.01.2017 12:02:26,14 - lsm, INFO, ALL IS WELL  
24.01.2017 12:02:27,17 - mtbpro, INFO, ALL IS WELL  
24.01.2017 12:02:27,92 - nsd, INFO, ALL IS WELL  
24.01.2017 12:04:11,66 - lsm, INFO, ALL IS WELL  
24.01.2017 12:04:13,24 - mtbpro, INFO, ALL IS WELL  
24.01.2017 12:04:14,56 - nsd, INFO, ALL IS WELL  
24.01.2017 12:04:16,13 - lsm, INFO, ALL IS WELL  
24.01.2017 12:04:17,30 - mtbpro, INFO, ALL IS WELL  
24.01.2017 12:04:18,37 - nsd, INFO, ALL IS WELL  
24.01.2017 12:08:04,37 - lsm, INFO, ALL IS WELL  
24.01.2017 12:08:05,70 - mtbpro, INFO, ALL IS WELL  
24.01.2017 12:08:06,90 - nsd, INFO, ALL IS WELL  
24.01.2017 12:08:09,28 - lsm, INFO, ALL IS WELL  
24.01.2017 12:08:10,42 - mtbpro, INFO, ALL IS WELL  
24.01.2017 12:08:11,70 - nsd, INFO, ALL IS WELL  
24.01.2017 12:08:52,23 - lsm, INFO, ALL IS WELL  
24.01.2017 12:08:53,39 - mtbpro, INFO, ALL IS WELL  
24.01.2017 12:08:54,58 - nsd, INFO, ALL IS WELL  
24.01.2017 12:08:55,81 - lsm, INFO, ALL IS WELL  
24.01.2017 12:08:56,96 - mtbpro, INFO, ALL IS WELL  
24.01.2017 12:08:58,10 - nsd, INFO, ALL IS WELL  
24.01.2017 12:11:18,32 - lsm, INFO, ALL IS WELL  
