25.01.2017 12:33:45,27 - lsm, warning, some error  
25.01.2017 12:33:51,10 - nsd, INFO, ALL IS WELL  
25.01.2017 12:33:51,42 - lsm, warning, some error  
25.01.2017 12:33:55,87 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:33:56,18 - lsm, warning, some error  
25.01.2017 12:34:00,60 - lsm, warning, some error  
25.01.2017 12:34:05,02 - nsd, INFO, ALL IS WELL  
25.01.2017 12:34:05,32 - lsm, warning, some error  
25.01.2017 12:34:09,69 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:34:10,02 - lsm, warning, some error  
25.01.2017 12:34:14,42 - lsm, warning, some error  
25.01.2017 12:34:18,76 - nsd, INFO, ALL IS WELL  
25.01.2017 12:34:19,05 - lsm, warning, some error  
25.01.2017 12:34:23,50 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:34:23,82 - lsm, warning, some error  
25.01.2017 12:34:28,19 - lsm, warning, some error  
25.01.2017 12:34:32,73 - nsd, INFO, ALL IS WELL  
25.01.2017 12:34:33,09 - lsm, warning, some error  
25.01.2017 12:34:37,44 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:34:37,73 - lsm, warning, some error  
25.01.2017 12:34:42,08 - lsm, warning, some error  
25.01.2017 12:34:46,43 - nsd, INFO, ALL IS WELL  
25.01.2017 12:34:46,71 - lsm, warning, some error  
25.01.2017 12:34:51,11 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:34:51,44 - lsm, warning, some error  
25.01.2017 12:34:55,83 - lsm, warning, some error  
25.01.2017 12:35:00,19 - nsd, INFO, ALL IS WELL  
25.01.2017 12:35:00,49 - lsm, warning, some error  
25.01.2017 12:35:05,00 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:35:05,35 - lsm, warning, some error  
25.01.2017 12:35:09,69 - lsm, warning, some error  
25.01.2017 12:35:14,04 - nsd, INFO, ALL IS WELL  
25.01.2017 12:35:14,36 - lsm, warning, some error  
25.01.2017 12:35:18,85 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:35:19,14 - lsm, warning, some error  
25.01.2017 12:35:23,57 - lsm, warning, some error  
25.01.2017 12:35:27,92 - nsd, INFO, ALL IS WELL  
25.01.2017 12:35:28,23 - lsm, warning, some error  
25.01.2017 12:35:32,57 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:35:32,89 - lsm, warning, some error  
25.01.2017 12:35:37,26 - lsm, warning, some error  
25.01.2017 12:35:41,63 - nsd, INFO, ALL IS WELL  
25.01.2017 12:35:41,93 - lsm, warning, some error  
25.01.2017 12:35:46,30 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:35:46,64 - lsm, warning, some error  
25.01.2017 12:35:51,23 - lsm, warning, some error  
25.01.2017 12:35:55,84 - nsd, INFO, ALL IS WELL  
25.01.2017 12:35:56,13 - lsm, warning, some error  
25.01.2017 12:36:00,47 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:36:00,96 - lsm, warning, some error  
25.01.2017 12:36:05,33 - lsm, warning, some error  
25.01.2017 12:36:09,69 - nsd, INFO, ALL IS WELL  
25.01.2017 12:36:09,97 - lsm, warning, some error  
25.01.2017 12:36:14,37 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:36:14,65 - lsm, warning, some error  
25.01.2017 12:36:19,01 - lsm, warning, some error  
25.01.2017 12:36:23,35 - nsd, INFO, ALL IS WELL  
25.01.2017 12:36:23,68 - lsm, warning, some error  
25.01.2017 12:36:28,04 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:36:28,32 - lsm, warning, some error  
25.01.2017 12:36:32,72 - lsm, warning, some error  
25.01.2017 12:36:37,11 - nsd, INFO, ALL IS WELL  
25.01.2017 12:36:37,41 - lsm, warning, some error  
25.01.2017 12:36:41,94 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:36:42,27 - lsm, warning, some error  
25.01.2017 12:36:46,62 - lsm, warning, some error  
25.01.2017 12:36:50,97 - nsd, INFO, ALL IS WELL  
25.01.2017 12:36:51,28 - lsm, warning, some error  
25.01.2017 12:36:55,61 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:36:55,94 - lsm, warning, some error  
25.01.2017 12:37:00,31 - lsm, warning, some error  
25.01.2017 12:37:04,70 - nsd, INFO, ALL IS WELL  
25.01.2017 12:37:05,00 - lsm, INFO, ALL IS WELL  
25.01.2017 12:37:09,34 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:37:09,61 - lsm, INFO, ALL IS WELL  
25.01.2017 12:37:13,95 - lsm, INFO, ALL IS WELL  
25.01.2017 12:37:18,29 - nsd, INFO, ALL IS WELL  
25.01.2017 12:37:18,60 - lsm, INFO, ALL IS WELL  
25.01.2017 12:37:23,07 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:37:23,37 - lsm, INFO, ALL IS WELL  
25.01.2017 12:37:27,80 - lsm, INFO, ALL IS WELL  
25.01.2017 12:37:32,30 - nsd, INFO, ALL IS WELL  
25.01.2017 12:37:32,58 - lsm, INFO, ALL IS WELL  
25.01.2017 12:37:36,91 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:37:37,23 - lsm, INFO, ALL IS WELL  
25.01.2017 12:37:41,56 - lsm, INFO, ALL IS WELL  
25.01.2017 12:37:45,92 - nsd, INFO, ALL IS WELL  
25.01.2017 12:37:46,21 - lsm, INFO, ALL IS WELL  
25.01.2017 12:37:50,68 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:37:51,00 - lsm, INFO, ALL IS WELL  
25.01.2017 12:37:55,36 - lsm, INFO, ALL IS WELL  
25.01.2017 12:37:59,74 - nsd, INFO, ALL IS WELL  
25.01.2017 12:38:00,02 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:04,37 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:38:04,69 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:09,24 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:13,58 - nsd, INFO, ALL IS WELL  
25.01.2017 12:38:13,85 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:18,24 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:38:18,51 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:22,85 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:27,21 - nsd, INFO, ALL IS WELL  
25.01.2017 12:38:27,59 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:31,93 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:38:32,23 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:36,59 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:40,94 - nsd, INFO, ALL IS WELL  
25.01.2017 12:38:41,25 - lsm, INFO, ALL IS WELL  
