26.01.2017  0:00:00,16 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:04,62 - nsd, INFO, ALL IS WELL  
26.01.2017  0:00:04,99 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:09,35 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:00:09,68 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:14,06 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:18,43 - nsd, INFO, ALL IS WELL  
26.01.2017  0:00:18,75 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:23,17 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:00:23,49 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:27,87 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:32,28 - nsd, INFO, ALL IS WELL  
26.01.2017  0:00:32,59 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:36,98 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:00:37,30 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:41,65 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:46,05 - nsd, INFO, ALL IS WELL  
26.01.2017  0:00:46,48 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:50,86 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:00:51,17 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:55,54 - lsm, INFO, ALL IS WELL  
26.01.2017  0:00:59,96 - nsd, INFO, ALL IS WELL  
26.01.2017  0:01:00,31 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:04,70 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:01:05,10 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:09,55 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:13,93 - nsd, INFO, ALL IS WELL  
26.01.2017  0:01:14,25 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:18,61 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:01:18,92 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:23,29 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:27,70 - nsd, INFO, ALL IS WELL  
26.01.2017  0:01:28,01 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:32,36 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:01:32,68 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:37,05 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:41,43 - nsd, INFO, ALL IS WELL  
26.01.2017  0:01:41,74 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:46,16 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:01:46,47 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:50,85 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:55,26 - nsd, INFO, ALL IS WELL  
26.01.2017  0:01:55,60 - lsm, INFO, ALL IS WELL  
26.01.2017  0:01:59,99 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:02:00,39 - lsm, INFO, ALL IS WELL  
26.01.2017  0:02:04,76 - lsm, INFO, ALL IS WELL  
26.01.2017  0:02:09,16 - nsd, INFO, ALL IS WELL  
26.01.2017  0:02:09,46 - lsm, INFO, ALL IS WELL  
26.01.2017  0:02:13,83 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:02:14,15 - lsm, INFO, ALL IS WELL  
26.01.2017  0:02:18,51 - lsm, INFO, ALL IS WELL  
26.01.2017  0:02:22,95 - nsd, INFO, ALL IS WELL  
26.01.2017  0:02:23,30 - lsm, INFO, ALL IS WELL  
26.01.2017  0:02:27,69 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:02:28,00 - lsm, INFO, ALL IS WELL  
26.01.2017  0:02:32,37 - lsm, INFO, ALL IS WELL  
26.01.2017  0:02:36,71 - nsd, INFO, ALL IS WELL  
26.01.2017  0:02:37,01 - lsm, INFO, ALL IS WELL  
26.01.2017  0:02:41,41 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:02:41,73 - lsm, INFO, ALL IS WELL  
26.01.2017  0:02:46,20 - lsm, INFO, ALL IS WELL  
26.01.2017  0:02:50,60 - nsd, INFO, ALL IS WELL  
26.01.2017  0:02:50,95 - lsm, INFO, ALL IS WELL  
26.01.2017  0:02:55,42 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:02:55,73 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:00,12 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:04,49 - nsd, INFO, ALL IS WELL  
26.01.2017  0:03:04,80 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:09,22 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:03:09,52 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:13,88 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:18,24 - nsd, INFO, ALL IS WELL  
26.01.2017  0:03:18,54 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:22,98 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:03:23,31 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:27,71 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:32,04 - nsd, INFO, ALL IS WELL  
26.01.2017  0:03:32,34 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:36,73 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:03:37,05 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:41,41 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:45,74 - nsd, INFO, ALL IS WELL  
26.01.2017  0:03:46,06 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:50,46 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:03:50,79 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:55,16 - lsm, INFO, ALL IS WELL  
26.01.2017  0:03:59,54 - nsd, INFO, ALL IS WELL  
26.01.2017  0:03:59,88 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:04,24 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:04:04,55 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:08,90 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:13,28 - nsd, INFO, ALL IS WELL  
26.01.2017  0:04:13,60 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:18,01 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:04:18,31 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:22,68 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:27,07 - nsd, INFO, ALL IS WELL  
26.01.2017  0:04:27,39 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:31,77 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:04:32,13 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:36,48 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:40,89 - nsd, INFO, ALL IS WELL  
26.01.2017  0:04:41,27 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:45,68 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:04:46,00 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:50,45 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:54,83 - nsd, INFO, ALL IS WELL  
26.01.2017  0:04:55,16 - lsm, INFO, ALL IS WELL  
26.01.2017  0:04:59,56 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:04:59,91 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:04,29 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:08,68 - nsd, INFO, ALL IS WELL  
26.01.2017  0:05:08,99 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:13,36 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:05:13,67 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:18,05 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:22,42 - nsd, INFO, ALL IS WELL  
26.01.2017  0:05:22,72 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:27,11 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:05:27,41 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:31,79 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:36,16 - nsd, INFO, ALL IS WELL  
26.01.2017  0:05:36,46 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:40,90 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:05:41,25 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:45,62 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:50,00 - nsd, INFO, ALL IS WELL  
26.01.2017  0:05:50,32 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:54,71 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:05:55,02 - lsm, INFO, ALL IS WELL  
26.01.2017  0:05:59,40 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:03,78 - nsd, INFO, ALL IS WELL  
26.01.2017  0:06:04,09 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:08,47 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:06:08,77 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:13,16 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:17,54 - nsd, INFO, ALL IS WELL  
26.01.2017  0:06:17,88 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:22,27 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:06:22,57 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:26,95 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:31,32 - nsd, INFO, ALL IS WELL  
26.01.2017  0:06:31,65 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:36,07 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:06:36,40 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:40,79 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:45,22 - nsd, INFO, ALL IS WELL  
26.01.2017  0:06:45,53 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:49,89 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:06:50,20 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:54,64 - lsm, INFO, ALL IS WELL  
26.01.2017  0:06:59,08 - nsd, INFO, ALL IS WELL  
26.01.2017  0:06:59,40 - lsm, INFO, ALL IS WELL  
26.01.2017  0:07:03,79 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:07:04,09 - lsm, INFO, ALL IS WELL  
26.01.2017  0:07:08,46 - lsm, INFO, ALL IS WELL  
26.01.2017  0:07:12,85 - nsd, INFO, ALL IS WELL  
26.01.2017  0:07:13,17 - lsm, INFO, ALL IS WELL  
26.01.2017  0:07:17,54 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:07:17,91 - lsm, INFO, ALL IS WELL  
26.01.2017  0:07:22,26 - lsm, INFO, ALL IS WELL  
26.01.2017  0:07:26,63 - nsd, INFO, ALL IS WELL  
26.01.2017  0:07:26,95 - lsm, INFO, ALL IS WELL  
26.01.2017  0:07:31,33 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:07:31,63 - lsm, INFO, ALL IS WELL  
26.01.2017  0:07:36,02 - lsm, INFO, ALL IS WELL  
26.01.2017  0:07:40,40 - nsd, INFO, ALL IS WELL  
26.01.2017  0:07:40,73 - lsm, INFO, ALL IS WELL  
26.01.2017  0:07:45,15 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:07:45,45 - lsm, INFO, ALL IS WELL  
26.01.2017  0:07:49,84 - lsm, INFO, ALL IS WELL  
26.01.2017  0:07:54,23 - nsd, INFO, ALL IS WELL  
26.01.2017  0:07:54,54 - lsm, INFO, ALL IS WELL  
